,EN_Name,sum,year,Source,Scale,area_km2,Percent comparasion
0,Shandong,11634100.058823526,1991,My,30,10470.690052941174,100.0
1,Henan,9259521.39607843,1991,My,30,8333.569256470588,100.0
2,Beijing,928488.8196078432,1991,My,30,835.6399376470587,100.0
3,Tianjin,808745.1372549019,1991,My,30,727.8706235294118,100.0
4,Hebei,7989919.5686274525,1991,My,30,7190.927611764707,100.0
5,Anhui,6254352.2352941185,1991,My,30,5628.917011764708,100.0
6,Jiangsu,5282031.792156864,1991,My,30,4753.828612941177,100.0
7,Shandong,14079968.117647056,1994,My,30,12671.971305882349,121.02326820688236
8,Henan,12425592.88235294,1994,My,30,11183.033594117644,134.19260403259497
9,Beijing,1045405.7647058823,1994,My,30,940.8651882352942,112.59217586997123
10,Tianjin,1086105.0745098041,1994,My,30,977.4945670588237,134.29509798307242
11,Hebei,9450855.141176473,1994,My,30,8505.769627058824,118.28473440815858
12,Anhui,8125174.9215686275,1994,My,30,7312.657429411765,129.91233329835842
13,Jiangsu,7382428.113725489,1994,My,30,6644.185302352941,139.76493145473762
14,Shandong,15735161.937254906,1997,My,30,14161.645743529412,135.25035763570773
15,Henan,14226988.82352941,1997,My,30,12804.289941176467,153.64712942458112
16,Beijing,1239841.6784313724,1997,My,30,1115.8575105882353,133.53329111222178
17,Tianjin,1200487.356862745,1997,My,30,1080.4386211764706,148.43827821178888
18,Hebei,10542955.270588232,1997,My,30,9488.65974352941,131.95320904086842
19,Anhui,9462643.062745098,1997,My,30,8516.378756470589,151.29693222818787
20,Jiangsu,8668630.36470588,1997,My,30,7801.767328235292,164.11545226928922
21,Shandong,17109080.835294116,2000,My,30,15398.172751764705,147.05977040586185
22,Henan,15331295.945098042,2000,My,30,13798.166350588235,165.5733086981268
23,Beijing,1330420.901960784,2000,My,30,1197.3788117647055,143.2888446112578
24,Tianjin,1305934.8117647062,2000,My,30,1175.3413305882355,161.47668178845552
25,Hebei,11219242.937254902,2000,My,30,10097.318643529408,140.41747029979422
26,Anhui,10489961.28235294,2000,My,30,9440.965154117646,167.72258561257118
27,Jiangsu,10006276.309803924,2000,My,30,9005.64867882353,189.43991069235807
28,Shandong,19577882.996078428,2003,My,30,17620.094696470584,168.28016689808493
29,Henan,16614208.494117646,2003,My,30,14952.78764470588,179.42837197993896
30,Beijing,1760004.188235294,2003,My,30,1584.0037694117646,189.5557761243318
31,Tianjin,1554094.4274509803,2003,My,30,1398.684984705883,192.16120825480257
32,Hebei,12299085.007843133,2003,My,30,11069.176507058815,153.9325258809323
33,Anhui,11451940.49019608,2003,My,30,10306.746441176474,183.10354229125915
34,Jiangsu,11657004.71372549,2003,My,30,10491.304242352942,220.6916802552124
35,Shandong,22066826.741176475,2006,My,30,19860.144067058827,189.6736888079329
36,Henan,18833656.815686274,2006,My,30,16950.291134117644,203.3977352615941
37,Beijing,1921343.3372549016,2006,My,30,1729.2090035294116,206.9323072803829
38,Tianjin,1745861.7882352942,2006,My,30,1571.275609411765,215.87292557470178
39,Hebei,13249645.94509804,2006,My,30,11924.681350588235,165.82952846137508
40,Anhui,12581591.560784308,2006,My,30,11323.432404705876,201.16538192052496
41,Jiangsu,14335278.082352946,2006,My,30,12901.750274117649,271.3970427750735
42,Shandong,25017977.54509804,2009,My,30,22516.179790588234,215.04007545580563
43,Henan,20498894.666666664,2009,My,30,18449.0052,221.38179490948966
44,Beijing,2089899.9803921569,2009,My,30,1880.9099823529407,225.08617618840555
45,Tianjin,2098232.925490196,2009,My,30,1888.4096329411761,259.4430345030774
46,Hebei,14833187.24705882,2009,My,30,13349.86852235294,185.64876804644655
47,Anhui,15072663.133333335,2009,My,30,13565.396820000005,240.99479156732406
48,Jiangsu,17310372.270588238,2009,My,30,15579.335043529414,327.7218493135901
49,Shandong,27849621.49019609,2012,My,30,25064.65934117648,239.37925021604397
50,Henan,23464366.34117648,2012,My,30,21117.929707058836,253.4079823079631
51,Beijing,2389560.3490196075,2012,My,30,2150.604314117647,257.3601640167152
52,Tianjin,2467560.772549019,2012,My,30,2220.804695294117,305.1098125825625
53,Hebei,16989724.929411765,2012,My,30,15290.752436470588,212.63949885205597
54,Anhui,17052058.07058824,2012,My,30,15346.852263529414,272.6430720412782
55,Jiangsu,20617963.192156874,2012,My,30,18556.16687294119,390.3415201470748
56,Shandong,30793059.011764705,2015,My,30,27713.753110588237,264.67933794682
57,Henan,27017863.33333335,2015,My,30,24316.07700000001,291.7846633496185
58,Beijing,2616927.780392157,2015,My,30,2355.235002352941,281.84806592474035
59,Tianjin,2880413.8156862743,2015,My,30,2592.372434117648,356.1584092441252
60,Hebei,19691277.02745097,2015,My,30,17722.149324705882,246.45150502852488
61,Anhui,19222897.91764706,2015,My,30,17300.608125882354,307.3523395303794
62,Jiangsu,23502976.71764705,2015,My,30,21152.67904588234,444.9609097875165
63,Shandong,35561268.447058834,2018,My,30,32005.14160235295,305.6641103932098
64,Henan,31424716.06274509,2018,My,30,28282.244456470587,339.3773254420473
65,Beijing,2922324.9843137264,2018,My,30,2630.0924858823537,314.7399217524236
66,Tianjin,3250755.823529412,2018,My,30,2925.68024117647,401.95058662897793
67,Hebei,22726991.98431373,2018,My,30,20454.292785882357,284.4458168709436
68,Anhui,23412181.92941177,2018,My,30,21070.9637364706,374.3342403597578
69,Jiangsu,26900088.63529411,2018,My,30,24210.079771764704,509.27540184891126
